Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2002-12,5.2621513879635984e-05,2.0915922002706644e-05,7.217830911947221e-09,3.391500081441709e-11,3.4770766068344913e-13,2.4127013377461368e-145,0.0
2003-01,0.6594018743828034,0.976694070987219,0.0002512016164126846,1.1519677784305267e-06,1.705936533481277e-08,1.1476306800681527e-140,0.0
2003-02,19.37862104246516,7.37168427170416,0.0025275661567571704,1.8035353828338623e-05,3.439084805654476e-07,8.652092548133282e-140,0.0
2003-03,2.3817079506159633,0.05918359446893673,4.68260609161336e-05,8.594718961922393e-07,2.471127548632513e-08,6.919870780046589e-142,0.0
2003-04,0.19218440427578587,0.0034643650743904075,2.9587902902869414e-06,5.969016089491649e-08,1.7941035041747186e-09,4.049046024985266e-143,0.0
2003-05,0.02151021472792669,0.00036933763691848753,3.1708018858656907e-07,6.446072552490051e-09,1.9445670490472107e-10,4.316465039879446e-144,0.0
2003-06,0.0033969190080140876,5.7206352876981725e-05,4.9127054215034743e-08,9.997913522492972e-10,3.017544796026338e-11,6.6856005495327e-145,0.0
2003-07,0.0007693245878237498,1.280382567747651e-05,1.0994561348582482e-08,2.2380352522592937e-10,6.755503617999799e-12,1.4963464943269082e-145,0.0
2003-08,0.000248514596945526,4.101625633579076e-06,3.5183285524895656e-09,7.166809757410822e-11,2.1639608528949505e-12,4.793221775654486e-146,0.0
2003-09,0.00011422140495653821,1.8734051365765225e-06,1.6120391683311329e-09,3.277338889017186e-11,9.887221597111928e-13,2.1895969894783494e-146,0.0
2003-10,7.503901215955011e-05,1.224758156004313e-06,1.0533425124975224e-09,2.1421947749494997e-11,6.463612111031666e-13,1.4314383171219413e-146,0.0
2003-11,7.052631066928328e-05,1.146603822999026e-06,9.863677271335948e-10,2.005695646845343e-11,6.051369277837098e-13,1.3401097520221694e-146,0.0
2003-12,0.00012684913244243035,9.542000087847669e-05,2.891926101936332e-08,1.1870010589677335e-10,2.9387713059454026e-12,1.8554819948625886e-13,0.0
2004-01,1.0035764247437795,1.5688207396652554,0.0003451561466029856,1.5278340937108206e-06,3.9970728344048895e-08,3.0365130468266304e-09,0.0
2004-02,17.702955335832314,7.452349280585812,0.002185380996028296,1.4873270964266964e-05,4.950351310205129e-07,1.4408046523480937e-08,0.0
2004-03,2.2575789026817006,0.08222926960900767,5.087854606980859e-05,8.062460618285728e-07,3.88284087718341e-08,1.5844395698511277e-10,0.0
2004-04,0.20028226927872872,0.005403597359593393,3.592367047788121e-06,6.221215409791177e-08,3.1240517860555898e-09,1.0408259816288637e-11,0.0
2004-05,0.024759986993982963,0.0006369778113302083,4.258328063213787e-07,7.4333297211018195e-09,3.7468406438832807e-10,1.226864654597602e-12,0.0
2004-06,0.004363895216696889,0.00011017829835702209,7.369219564673209e-08,1.2878329773665462e-09,6.494921015255471e-11,2.1220779866111115e-13,0.0
2004-07,0.0010973010504011782,2.7390164358820357e-05,1.8319717209967345e-08,3.2024225734827305e-10,1.6152869530427305e-11,5.275415310300421e-14,0.0
2004-08,0.0003983986740951906,9.865626288130258e-06,6.597561499942575e-09,1.1534732463605707e-10,5.818452067672987e-12,1.900129156689907e-14,0.0
2004-09,0.00020837512884064324,5.129075997256649e-06,3.4291294847069165e-09,5.99633286038246e-11,3.024962230822179e-12,9.878529574549824e-15,0.0
