Time,1-4,10-14,15-19,20-29,30+,5-9,<1
2010-04,1.97077472,0.53767964,0.49883459,0.11852722,0.10244271,0.86547016,2.54045354
2010-05,4.59847435,4.30143719,1.99533839,0.47410891,0.17927475,1.73094032,3.81068032
2010-06,3.94154944,1.34419912,0.49883459,0.11852722,0.12805339,1.15396021,7.62136064
2010-07,5.25539926,5.10795666,6.98368436,1.77790842,0.12805339,4.32735081,7.62136064
2010-08,5.91232417,1.88187877,1.24708649,1.54085396,0.3585495,2.30792043,16.51294805
2010-09,2.29923717,1.61303894,0.49883459,0.59263614,0.07683203,2.30792043,1.27022677
2010-10,1.31384981,0.26883982,0.74825189,1.06674505,0.12805339,0.0,3.81068032
2010-11,0.98538736,0.26883982,1.24708649,0.47410891,0.07683203,0.28849005,0.0
2010-12,0.6569249,0.80651947,0.0,0.0,0.02561067,0.0,0.0
2011-01,0.64469669,1.08723394,1.7555374,0.70199322,0.07613569,1.42574194,0.0
2011-02,2.90113511,0.54361697,0.50158211,0.70199322,0.17764996,0.85544516,5.02204678
2011-03,4.1905285,8.42606306,7.02214961,3.97796162,0.38067849,4.8475226,7.53307017
2011-04,8.381057,10.05691397,5.51740326,2.92497178,0.65984272,7.1287097,12.55511696
2011-05,8.05870865,8.69787154,6.77135855,2.33997742,0.83749269,10.83563875,15.06614035
2011-06,4.1905285,11.4159564,5.51740326,1.28698758,0.27916423,6.84356132,12.55511696
2011-07,6.44696692,5.43616971,2.75870163,1.63798419,0.32992136,5.70296776,8.78858187
2011-08,3.86818015,2.17446788,2.00632846,0.81899209,0.17764996,4.56237421,2.51102339
2011-09,3.54583181,3.26170183,4.26344798,0.23399774,0.10151426,1.42574194,5.02204678
2011-10,3.86818015,4.34893577,3.76186586,0.93599097,0.22840709,3.42178066,0.0
2011-11,7.41401196,4.62074426,1.25395528,0.46799548,0.15227139,2.85148388,2.51102339
2011-12,2.57878677,4.62074426,1.7555374,0.81899209,0.12689283,3.42178066,1.25551169
2012-01,2.22004798,1.6599866,2.02564927,0.0,0.15094954,2.78638461,2.47366474
2012-02,9.19734165,4.97995981,3.54488623,1.04258544,0.20126605,4.17957691,24.73664746
2012-03,10.14879078,6.91661084,2.02564927,1.96932806,0.50316513,6.96596152,24.73664746
2012-04,10.14879078,15.4932083,3.29168007,1.7376424,0.37737385,13.09600766,18.5524856
2012-05,18.3946833,17.42985934,7.08977247,3.82281329,0.55348164,15.88239227,33.39447408
2012-06,8.56304222,13.55655726,6.83656631,1.62179958,0.55348164,8.08051536,29.68397696
2012-07,8.24589251,8.85326188,5.57053551,2.20101371,0.30189908,7.52323844,16.07882085
2012-08,9.51449136,5.53328867,4.81091703,2.08517089,0.20126605,6.13004614,25.97347984
2012-09,5.70869481,7.46993971,8.35580326,2.78022785,0.4025321,6.96596152,13.6051561
2012-10,10.46594049,8.85326188,4.55771087,1.96932806,0.35221559,6.96596152,17.31565322
2012-11,13.95458733,11.89657066,9.11542174,3.24359916,0.5786399,10.03098459,33.39447408
2012-12,15.8574856,18.53651707,5.57053551,3.35944198,0.60379816,13.09600766,29.68397696
2013-01,16.55852078,20.53880892,10.24469977,3.34950953,0.42412603,9.72643062,33.57357088
2013-02,15.62124601,20.53880892,5.12234988,2.65650756,0.39917744,14.85982457,37.30396764
2013-03,19.68276998,30.38618306,18.44045959,2.4255069,0.59876616,11.07732377,36.06050206
2013-04,21.5573195,35.73190045,21.51386953,7.85402236,1.14763515,11.3475024,60.92981382
2013-05,9.68517253,16.59985926,11.78140474,2.4255069,0.89814925,6.48428708,21.138915
2013-06,9.68517253,3.37624256,3.32952742,1.96350559,0.59876616,4.32285805,14.92158705
2013-07,4.99879872,3.37624256,2.56117494,1.15500328,0.29938308,4.05267942,2.48693117
2013-08,1.24969968,1.40676773,1.02446997,0.34650098,0.07484577,0.27017862,2.48693117
2013-09,0.31242492,0.84406064,1.28058747,0.11550032,0.04989718,0.54035725,1.24346558
2013-10,0.62484984,3.37624256,1.02446997,0.34650098,0.0,1.62107177,1.24346558
2013-11,0.31242492,1.40676773,0.76835248,0.23100065,0.02494859,0.27017862,0.0
2013-12,0.31242492,0.28135354,0.76835248,0.23100065,0.02494859,0.81053588,0.0
2014-01,2.16413812,1.41760684,1.81044861,0.69079029,0.14836179,0.787328,5.09291384
2014-02,2.47330071,0.28352136,0.51727103,0.23026343,0.22254269,0.26244266,8.91259923
2014-03,2.16413812,0.28352136,0.25863551,0.57565857,0.17308876,0.52488533,5.09291384
2014-04,0.92748776,0.0,0.0,0.57565857,0.17308876,0.0,0.0
2014-05,0.30916258,0.0,0.25863551,0.11513171,0.0,0.0,0.0
2014-06,0.92748776,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,2.16413812,0.28352136,0.0,0.23026343,0.02472696,0.52488533,6.3661423
2014-08,0.30916258,0.0,0.0,0.0,0.02472696,0.0,0.0
2014-09,0.0,0.0,0.0,0.0,0.02472696,0.0,0.0
